Name,ID,Country,City,Zone,Delta,DST_period,Open,Close,Lunch,Open_UTC,Close_UTC,Lunch_UTC
Euronext Amsterdam,AMS,Netherlands,Amsterdam,CET,1,Mar-Oct,09:00,17:40,No,08:00,16:40,No
Armenia Securities Exchange,AMX,Armenia,Yerevan,AMT,4,,10:00,15:00,No,06:00,11:00,No
Amman Stock Exchange,ASE,Jordan,Amman,EET,2,Mar-Oct,10:00,12:00,No,08:00,10:00,No
Australian Securities Exchange,ASX,Australia,Sydney,AEST,10,Oct-Apr,10:00,16:00,No,00:00,06:00,No
Buenos Aires Stock Exchange,BCBA,Argentina,Buenos Aires,ART,_3,,11:00,17:00,No,14:00,20:00,No
Spanish Stock Exchange,BME,Spain,Madrid,CET,1,Mar-Oct,09:00,17:30,No,08:00,16:30,No
Mexican Stock Exchange,BMV,Mexico,Mexico City,CST,_6,Apr-Oct,08:30,15:00,No,14:30,21:00,No
Bolsa de Valores de Sao Paulo,Bovespa,Brazil,Sao Paulo,BRT,_3,Suspended,10:00,17:30,No,13:00,20:00,No
Euronext Brussels,BRU,Belgium,Brussels,CET,1,Mar-Oct,09:00,17:30,No,08:00,16:30,No
Bombay Stock Exchange,BSE:IN,India,Mumbai,IST,5.5,,09:15,15:30,No,03:45,10:00,No
Beirut Stock Exchange,BSE:LB,Lebanon,Beirut,EET,2,Mar-Oct,09:30,12:30,No,07:30,10:30,No
Budapest Stock Exchange,BSE:HU,Hungary,Budapest,CET,1,Mar-Oct,09:00,17:00,No,08:00,16:00,No
Bucharest Stock Exchange,BVB,Romania,Bucharest,EET,2,Mar-Oct,10:00,18:00,No,08:00,15:45,No
Berne eXchange,BX,Switzerland,Berne,CET,1,Mar-Oct,09:00,16:30,No,08:00,15:30,No
Colombo Stock Exchange,CSE:LK,Sri Lanka,Colombo,SLST,5.5,,09:30,14:30,No,04:00,09:00,No
Chittagong Stock Exchange,CSE:BD,Bangladesh,Chittagong,BST,6,,10:30,14:30,No,04:30,08:30,No
Copenhagen Stock Exchange,CSE:DK,Denmark,Copenhagen,CET,1,Mar-Oct,09:00,17:00,No,08:00,16:00,No
Casablanca Stock Exchange,CSE:MA,Maroc,Casablanca,CET,0,Mar-Oct,08:10,15:55,No,08:10,15:55,No
Dhaka Stock Exchange,DSE:BD,Bangladesh,Dhaka,BST,6,,10:30,14:30,No,04:30,08:30,No
Dar es Salaam Stock Exchange,DSE:TZ,Tanzania,Dar es Salaam,EAT,3,,08:00,17:00,No,05:00,14:00,No
Egyptian Exchange,EGX,Egypt,Cairo,EET,2,,10:00,14:30,No,08:00,12:30,No
Euronext Paris,EPA,France,Paris,CET,1,Mar-Oct,09:00,17:30,No,08:00,16:30,No
Eurex Exchange,EUREX,Germany,Eschborn,CET,1,Mar-Oct,08:00,22:00,No,07:00,21:00,No
Frankfurt Stock Exchange (Xetra),FSX,Germany,Frankfurt,CET,1,Mar-Oct,08:00,20:00,No,07:00,19:00,No
Warsaw Stock Exchange,GPW,Poland,Warsaw,CET,1,Mar-Oct,09:00,17:00,No,08:00,16:00,No
Hong Kong Stock Exchange,HKEX,Hong Kong,Hong Kong,HKT,8,,09:30,16:00,12:00-13:00,01:30,08:00,04:00-05:00
Hong Kong Futures Exchange,HKFE,Hong Kong,Hong Kong,HKT,8,,09:15,16:00,12:00-13:00,01:15,08:00,04:00-05:00
Hanoi Stock Exchange,HNX,Vietnam,Hanoi,ICT,7,,09:00,14:45,11:30-13:00,02:00,07:45,04:30-06:00
Hochiminh Stock Exchange,HOSE,Vietnam,Hochiminh,ICT,7,,09:00,14:45,11:30-13:00,02:00,07:45,04:30-06:00
Indonesia Stock Exchange,IDX,Indonesia,Jakarta,WIB,7,,09:00,16:00,12:00-13:30 (Mon-Thu) 11:30-14:00 (Fri),02:00,09:00,05:00-06:30 (Mon-Thu) 04:30-07:00 (Fri)
